date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USD,180.5,361.0,120.33333333333331,51.57142857142858,45.125,60.16666666666666,0.8714351381514684,,,,,outputs/fourier/monthly/2013/07/FREQ_BTC_USD_2h_2013-07.csv
2h,BTC,USD,361.0,180.5,90.25,72.2,120.33333333333331,45.125,0.9773424401711964,,,,,outputs/fourier/monthly/2013/08/FREQ_BTC_USD_2h_2013-08.csv
2h,BTC,USD,174.5,349.0,87.25,69.8,116.33333333333331,58.16666666666666,0.7932324997367612,,,,,outputs/fourier/monthly/2013/09/FREQ_BTC_USD_2h_2013-09.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,51.57142857142858,45.125,0.9748570638149532,,,,,outputs/fourier/monthly/2013/10/FREQ_BTC_USD_2h_2013-10.csv
2h,BTC,USD,349.0,174.5,58.16666666666666,49.85714285714286,43.625,29.08333333333333,0.9443285174504956,,,,,outputs/fourier/monthly/2013/11/FREQ_BTC_USD_2h_2013-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,60.16666666666666,72.2,40.11111111111111,0.9063636015326162,,,,,outputs/fourier/monthly/2013/12/FREQ_BTC_USD_2h_2013-12.csv
2h,BTC,USD,361.0,60.16666666666666,51.57142857142858,90.25,45.125,180.5,0.6705956021672439,,,,,outputs/fourier/monthly/2014/01/FREQ_BTC_USD_2h_2014-01.csv
2h,BTC,USD,325.0,46.42857142857143,108.33333333333334,20.3125,81.25,54.16666666666667,0.8061333265664956,,,,,outputs/fourier/monthly/2014/02/FREQ_BTC_USD_2h_2014-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,40.11111111111111,60.16666666666666,0.968850308238628,,,,,outputs/fourier/monthly/2014/03/FREQ_BTC_USD_2h_2014-03.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,49.85714285714286,43.625,0.8552999381827368,,,,,outputs/fourier/monthly/2014/04/FREQ_BTC_USD_2h_2014-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,90.25,60.16666666666666,0.9824208963132044,,,,,outputs/fourier/monthly/2014/05/FREQ_BTC_USD_2h_2014-05.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,69.8,58.16666666666666,0.9041165933548078,,,,,outputs/fourier/monthly/2014/06/FREQ_BTC_USD_2h_2014-06.csv
2h,BTC,USD,361.0,90.25,120.33333333333331,72.2,60.16666666666666,180.5,0.8110578882485578,,,,,outputs/fourier/monthly/2014/07/FREQ_BTC_USD_2h_2014-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,60.16666666666666,51.57142857142858,72.2,0.9417825547366488,,,,,outputs/fourier/monthly/2014/08/FREQ_BTC_USD_2h_2014-08.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,69.8,43.625,0.958890318513045,,,,,outputs/fourier/monthly/2014/09/FREQ_BTC_USD_2h_2014-09.csv
2h,BTC,USD,361.0,180.5,72.2,60.16666666666666,51.57142857142858,90.25,0.925313520134631,,,,,outputs/fourier/monthly/2014/10/FREQ_BTC_USD_2h_2014-10.csv
2h,BTC,USD,361.0,72.2,180.5,90.25,45.125,51.57142857142858,0.8102455714433926,,,,,outputs/fourier/monthly/2013/05/FREQ_BTC_USD_2h_2013-05.csv
2h,BTC,USD,349.0,174.5,69.8,116.33333333333331,58.16666666666666,43.625,0.8432073606822869,,,,,outputs/fourier/monthly/2014/11/FREQ_BTC_USD_2h_2014-11.csv
2h,BTC,USD,174.5,349.0,116.33333333333331,58.16666666666666,69.8,49.85714285714286,0.7782243265411605,,,,,outputs/fourier/monthly/2013/04/FREQ_BTC_USD_2h_2013-04.csv
2h,BTC,USD,325.0,162.5,81.25,108.33333333333334,65.0,29.545454545454547,0.9668288135721572,,,,,outputs/fourier/monthly/2013/02/FREQ_BTC_USD_2h_2013-02.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,49.85714285714286,58.16666666666666,0.9565072356621698,,,,,outputs/fourier/monthly/2011/09/FREQ_BTC_USD_2h_2011-09.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,90.25,51.57142857142858,0.8793490442345723,,,,,outputs/fourier/monthly/2011/10/FREQ_BTC_USD_2h_2011-10.csv
2h,BTC,USD,174.5,349.0,87.25,49.85714285714286,43.625,17.45,0.425209183793233,,,,,outputs/fourier/monthly/2011/11/FREQ_BTC_USD_2h_2011-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,90.25,51.57142857142858,0.8823616040083722,,,,,outputs/fourier/monthly/2011/12/FREQ_BTC_USD_2h_2011-12.csv
2h,BTC,USD,361.0,60.16666666666666,51.57142857142858,30.08333333333333,19.0,45.125,0.7404125766963842,,,,,outputs/fourier/monthly/2012/01/FREQ_BTC_USD_2h_2012-01.csv
2h,BTC,USD,337.0,168.5,112.33333333333331,42.125,48.14285714285714,37.44444444444444,0.8976483627544394,,,,,outputs/fourier/monthly/2012/02/FREQ_BTC_USD_2h_2012-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,51.57142857142858,45.125,0.9124497712900946,,,,,outputs/fourier/monthly/2012/03/FREQ_BTC_USD_2h_2012-03.csv
2h,BTC,USD,349.0,174.5,87.25,116.33333333333331,43.625,16.61904761904762,0.8782828346597833,,,,,outputs/fourier/monthly/2012/04/FREQ_BTC_USD_2h_2012-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,36.1,40.11111111111111,0.8681847437445275,,,,,outputs/fourier/monthly/2012/05/FREQ_BTC_USD_2h_2012-05.csv
2h,BTC,USD,349.0,174.5,87.25,43.625,49.85714285714286,58.16666666666666,0.9014734793961184,,,,,outputs/fourier/monthly/2012/06/FREQ_BTC_USD_2h_2012-06.csv
2h,BTC,USD,361.0,180.5,90.25,60.16666666666666,51.57142857142858,72.2,0.9183303862896016,,,,,outputs/fourier/monthly/2012/07/FREQ_BTC_USD_2h_2012-07.csv
2h,BTC,USD,180.5,361.0,120.33333333333331,90.25,72.2,60.16666666666666,0.8963242238443423,,,,,outputs/fourier/monthly/2012/08/FREQ_BTC_USD_2h_2012-08.csv
2h,BTC,USD,349.0,174.5,69.8,116.33333333333331,87.25,58.16666666666666,0.9543057866011768,,,,,outputs/fourier/monthly/2012/09/FREQ_BTC_USD_2h_2012-09.csv
2h,BTC,USD,361.0,72.2,45.125,90.25,180.5,120.33333333333331,0.7308969099766588,,,,,outputs/fourier/monthly/2012/10/FREQ_BTC_USD_2h_2012-10.csv
2h,BTC,USD,349.0,174.5,87.25,69.8,116.33333333333331,58.16666666666666,0.9489220276995656,,,,,outputs/fourier/monthly/2012/11/FREQ_BTC_USD_2h_2012-11.csv
2h,BTC,USD,361.0,90.25,180.5,72.2,120.33333333333331,32.81818181818182,0.8343446892567729,,,,,outputs/fourier/monthly/2012/12/FREQ_BTC_USD_2h_2012-12.csv
2h,BTC,USD,361.0,180.5,72.2,120.33333333333331,60.16666666666666,90.25,0.975343198249922,,,,,outputs/fourier/monthly/2013/01/FREQ_BTC_USD_2h_2013-01.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,60.16666666666666,0.983466009059186,,,,,outputs/fourier/monthly/2013/03/FREQ_BTC_USD_2h_2013-03.csv
2h,BTC,USD,361.0,180.5,90.25,120.33333333333331,72.2,51.57142857142858,0.9465002130735012,,,,,outputs/fourier/monthly/2014/12/FREQ_BTC_USD_2h_2014-12.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,40.11111111111111,60.16666666666666,0.9368403104974684,,,,,outputs/fourier/monthly/2015/01/FREQ_BTC_USD_2h_2015-01.csv
2h,BTC,USD,325.0,162.5,81.25,108.33333333333334,65.0,40.625,0.776142167799925,,,,,outputs/fourier/monthly/2015/02/FREQ_BTC_USD_2h_2015-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,51.57142857142858,72.2,45.125,0.9079503663307764,,,,,outputs/fourier/monthly/2017/01/FREQ_BTC_USD_2h_2017-01.csv
2h,BTC,USD,325.0,162.5,65.0,54.16666666666667,40.625,108.33333333333334,0.917901637706741,,,,,outputs/fourier/monthly/2017/02/FREQ_BTC_USD_2h_2017-02.csv
2h,BTC,USD,361.0,180.5,90.25,120.33333333333331,72.2,60.16666666666666,0.9393397486201406,,,,,outputs/fourier/monthly/2017/03/FREQ_BTC_USD_2h_2017-03.csv
2h,BTC,USD,174.5,349.0,116.33333333333331,87.25,34.9,58.16666666666666,0.8474813389798656,,,,,outputs/fourier/monthly/2017/04/FREQ_BTC_USD_2h_2017-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,60.16666666666666,32.81818181818182,0.9477256672020516,,,,,outputs/fourier/monthly/2017/05/FREQ_BTC_USD_2h_2017-05.csv
2h,BTC,USD,174.5,116.33333333333331,349.0,87.25,69.8,43.625,0.7692400574048809,,,,,outputs/fourier/monthly/2017/06/FREQ_BTC_USD_2h_2017-06.csv
2h,BTC,USD,180.5,361.0,120.33333333333331,90.25,51.57142857142858,60.16666666666666,0.9382778388394072,,,,,outputs/fourier/monthly/2017/07/FREQ_BTC_USD_2h_2017-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,90.25,36.1,0.9419037312795696,,,,,outputs/fourier/monthly/2017/08/FREQ_BTC_USD_2h_2017-08.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,69.8,58.16666666666666,0.8681781420891405,,,,,outputs/fourier/monthly/2017/09/FREQ_BTC_USD_2h_2017-09.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.943175124959066,,,,,outputs/fourier/monthly/2017/10/FREQ_BTC_USD_2h_2017-10.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,69.8,49.85714285714286,0.9724554547972276,,,,,outputs/fourier/monthly/2017/11/FREQ_BTC_USD_2h_2017-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,60.16666666666666,51.57142857142858,0.9594152195054596,,,,,outputs/fourier/monthly/2017/12/FREQ_BTC_USD_2h_2017-12.csv
2h,BTC,USD,361.0,180.5,90.25,72.2,60.16666666666666,51.57142857142858,0.9059941740251324,,,,,outputs/fourier/monthly/2018/01/FREQ_BTC_USD_2h_2018-01.csv
2h,BTC,USD,325.0,162.5,108.33333333333334,32.5,65.0,81.25,0.9443720462202576,,,,,outputs/fourier/monthly/2018/02/FREQ_BTC_USD_2h_2018-02.csv
